t_s,pop,gold
0,280.0,200.0
10,311.0,107.8
20,345.6,92.9
30,406.0,62.9
40,469.4,52.9
50,529.8,22.9
60,588.1,32.9
70,638.0,42.9
80,680.7,52.9
90,717.5,62.9
100,749.3,72.9
110,776.9,82.9
120,800.9,12.9
130,829.2,22.9
140,855.1,32.9
150,877.6,42.9
160,897.0,52.9
170,913.8,62.9
180,928.5,72.9
190,939.6,92.3
200,947.9,41.1
210,960.9,70.1
220,973.7,99.4
230,985.1,129.0
240,995.4,158.7
250,1004.5,188.7
260,1012.8,218.8
270,1020.1,49.1
280,1026.8,79.5
290,1032.9,110.1
300,1052.9,145.9
310,1071.6,182.1
320,1089.1,218.7
330,1105.4,255.6
340,1120.8,292.8
350,1135.3,330.3
360,1148.9,368.1
370,1161.7,56.2
380,1173.8,94.5
390,1185.2,133.0
400,1196.1,171.8
410,1218.0,215.9
420,1238.9,260.4
430,1258.9,305.4
440,1278.0,350.7
450,1296.2,396.4
460,1313.5,442.4
470,1330.1,488.8
480,1345.9,535.5
490,1361.0,582.6
500,1375.6,79.9
510,1389.4,127.5
520,1402.6,175.4
530,1415.3,223.5
540,1427.5,271.9
550,1450.0,325.7
560,1471.5,379.8
570,1492.1,434.4
580,1511.9,489.4
590,1531.0,544.8
600,1549.3,600.5
